TeamID,MatchFk,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
64,EUW1_7484350827,10,62,157,145,89,75,59,804,115,555,1,1,4,10,34,0,0,0,2,23,0,1
65,EUW1_7484247393,85,48,517,51,99,82,19,266,523,902,1,1,3,11,46,0,0,1,3,20,0,1
66,EUW1_7484228486,126,91,38,222,26,266,48,136,67,43,0,0,0,3,16,1,1,4,11,27,1,0
67,EUW1_7484212989,266,56,85,96,267,126,62,8,51,117,0,1,2,6,31,0,0,2,1,16,0,1
68,EUW1_7484204369,350,64,267,21,40,266,106,99,22,111,0,0,0,0,1,0,0,0,0,0,1,0
69,EUW1_7484181885,157,234,86,99,111,266,20,39,145,555,1,1,1,10,43,0,0,3,3,34,0,1
70,EUW1_7484119352,27,59,63,523,37,266,107,55,360,497,0,0,1,0,15,0,0,2,9,33,1,0
71,EUW1_7483607136,164,131,517,804,40,266,76,103,29,89,0,0,0,2,19,1,1,4,9,46,1,0
72,EUW1_7483564664,266,234,134,236,555,150,62,38,145,267,0,1,4,8,37,0,0,0,2,17,0,1
73,EUW1_7362590896,80,11,103,29,117,92,238,90,236,350,0,1,1,4,17,1,0,1,8,22,1,0
74,EUW1_7362562749,78,29,68,202,902,92,32,10,96,117,1,1,2,5,40,1,0,3,11,39,1,0
75,EUW1_7361456267,246,29,34,236,45,266,91,134,119,101,0,0,0,2,25,1,1,4,10,35,1,0
76,EUW1_7360395884,92,29,238,119,432,83,60,7,145,111,0,0,1,2,27,0,1,1,10,42,1,0
77,EUW1_7360388326,34,91,497,202,432,110,29,79,18,412,0,0,0,0,0,0,0,0,0,1,1,0
78,EUW1_7360377078,114,19,245,110,57,83,29,31,910,555,1,1,3,11,38,0,0,0,0,21,0,1
79,EUW1_7358464072,112,29,238,145,412,157,107,10,18,350,0,1,2,3,22,0,0,2,9,40,1,0
80,EUW1_7358318923,48,35,4,202,101,41,29,103,119,223,0,0,0,3,49,1,1,3,11,50,1,0
81,EUW1_7551661866,90,64,23,145,267,133,238,25,202,161,0,0,0,1,10,0,1,4,10,33,1,0
82,EUW1_7516607562,875,59,34,202,143,98,11,90,901,16,1,1,3,10,51,0,0,2,6,25,0,1
83,EUW1_7504612622,150,63,14,96,117,54,91,45,236,267,0,0,1,2,21,1,1,3,7,43,1,0
84,EUW1_7492298009,114,20,246,236,267,83,234,131,222,412,0,0,3,5,28,1,1,1,9,32,1,0
85,EUW1_7489008091,799,5,893,236,43,54,120,112,110,111,0,1,2,0,9,0,0,1,2,18,1,0
86,EUW1_7488407658,85,56,13,236,53,82,200,90,523,111,1,1,4,9,45,0,0,0,2,24,0,1
87,EUW1_7475545393,54,62,893,804,43,6,131,96,236,267,0,0,4,7,36,1,1,1,4,30,0,1
88,EUW1_7467247264,110,233,79,901,53,133,106,1,29,11,0,1,4,7,56,2,0,1,6,39,0,1
89,EUW1_7466679573,122,427,711,15,12,36,56,99,236,267,0,1,0,3,23,1,0,4,10,36,1,0
90,EUW1_7461194460,516,56,202,901,497,223,60,910,15,235,0,1,0,4,19,1,0,4,9,37,1,0
91,EUW1_7461149089,36,106,235,901,432,98,30,69,21,99,0,0,1,4,11,1,1,3,11,31,1,0
92,EUW1_7461114770,79,234,69,236,60,83,75,711,110,412,2,0,4,10,42,0,1,1,5,20,0,1
93,EUW1_7460742019,68,113,13,222,53,80,98,4,901,201,0,1,0,4,27,1,0,4,4,37,1,0
94,EUW1_7460715698,6,19,3,360,412,14,203,134,202,497,0,0,0,1,21,0,1,3,10,43,1,0
95,EUW1_7460667695,114,59,142,236,412,6,238,517,81,26,1,1,5,10,35,0,0,0,3,28,0,1
96,EUW1_7460623041,164,60,246,236,111,106,76,127,96,43,0,1,0,5,25,1,0,4,9,37,1,0
97,EUW1_7460581341,75,245,166,145,412,54,32,10,901,267,0,0,0,2,15,0,1,3,10,27,1,0
98,EUW1_7460533267,54,106,7,21,111,2,62,101,202,526,1,0,3,9,42,0,1,2,6,27,0,1
99,EUW1_7460500502,36,233,84,236,267,266,11,10,15,201,0,0,0,0,6,0,0,1,2,25,1,0
100,EUW1_7460449043,23,11,145,236,267,36,48,134,110,43,0,1,2,11,35,1,0,2,5,21,0,1
101,EUW1_7564967294,72,157,150,79,81,96,13,84,141,901,0,0,0,0,60,0,0,0,0,0,0,1
102,EUW1_7564950521,50,76,59,75,897,101,64,145,143,91,0,0,0,0,58,0,0,0,0,0,0,1
103,EUW1_7564465963,56,75,90,901,27,59,20,901,901,254,0,0,0,0,43,0,0,0,0,0,0,1
104,EUW1_7564434738,78,112,121,80,800,10,51,50,37,18,0,0,0,0,60,0,0,0,0,0,0,1
105,EUW1_7564403949,26,223,516,21,143,81,25,154,69,12,0,0,0,0,67,0,0,0,0,0,0,1
106,EUW1_7564364164,429,84,147,35,421,133,51,897,57,711,0,0,0,0,60,0,0,0,0,0,0,1
107,EUW1_7544298673,133,107,90,145,117,266,200,3,804,902,0,0,0,4,13,1,1,3,10,33,1,0
108,EUW1_7544211909,86,131,61,42,12,10,876,3,119,902,2,1,2,9,30,0,0,3,9,31,1,0
109,EUW1_7544154910,74,245,517,221,902,39,30,11,110,526,0,1,3,7,35,0,0,0,1,8,0,1
110,EUW1_7544087169,29,82,38,79,901,910,498,43,360,360,0,0,0,0,64,0,0,0,0,0,0,1
111,EUW1_7544036831,105,5,3,104,412,4,2,147,96,45,0,0,0,0,49,0,0,0,0,0,0,1
112,EUW1_7534306410,154,29,267,18,53,82,498,120,517,235,0,0,0,0,63,0,0,0,0,0,0,1
113,EUW1_7534289527,897,78,245,90,29,895,30,105,145,58,0,0,0,0,56,0,0,0,0,0,0,1
114,EUW1_7534254369,78,267,11,16,99,203,420,875,893,526,0,0,0,0,63,0,0,0,0,0,0,1
115,EUW1_7534241976,13,92,223,53,8,43,34,141,25,240,0,0,0,0,41,0,0,0,0,0,0,1
116,EUW1_7546667826,106,91,3,498,99,24,233,134,157,44,0,1,1,3,27,1,0,3,11,40,1,0
117,EUW1_7546600314,92,91,61,51,43,79,233,134,119,99,0,1,1,1,13,0,0,2,2,21,1,0
118,EUW1_7546525421,516,876,10,18,902,238,24,112,523,99,0,0,0,1,12,0,1,4,11,26,1,0
119,EUW1_7546477976,126,32,910,523,37,516,203,517,29,89,0,0,0,0,13,0,1,2,2,21,1,0
120,EUW1_7545823578,39,131,79,15,99,240,28,105,222,526,1,1,3,8,34,0,0,1,10,33,1,0
121,EUW1_7545776864,238,59,268,99,40,516,120,800,51,235,0,1,1,10,32,0,0,1,0,11,0,1
122,EUW1_7545731697,85,106,800,81,111,30,72,25,21,99,0,1,1,9,33,0,0,1,1,15,0,1
123,EUW1_7544643845,126,77,103,236,267,98,200,34,145,99,0,0,1,3,30,1,1,3,10,41,1,0
124,EUW1_7544551913,36,141,4,81,40,24,107,55,30,12,0,1,0,5,16,1,0,5,10,36,1,0
125,EUW1_7544441047,897,163,34,222,99,126,131,4,81,89,1,1,4,12,47,2,0,3,9,36,0,1
126,EUW1_7544377133,78,141,777,51,99,39,131,84,202,101,0,1,3,11,40,0,0,1,2,22,0,1
127,EUW1_7544330468,133,131,246,236,37,122,163,777,498,497,0,0,1,0,12,0,1,2,5,31,1,0
128,EUW1_7543899678,86,106,25,22,902,82,36,18,236,37,2,0,4,11,41,1,1,3,10,33,0,1
129,EUW1_7543817061,266,56,800,202,99,799,9,103,51,412,0,0,3,9,36,1,1,2,4,34,0,1
130,EUW1_7543760806,31,131,161,804,40,23,63,246,119,412,0,0,0,1,9,0,1,4,7,36,1,0
131,EUW1_7535133884,133,517,134,42,497,157,9,110,29,555,0,0,3,4,35,1,1,2,10,47,1,0
132,EUW1_7535107527,114,120,777,800,99,14,59,38,22,43,0,0,0,1,4,0,1,3,5,23,1,0
133,EUW1_7534982883,799,60,777,15,902,19,59,13,910,99,3,1,2,11,28,0,0,4,3,28,0,1
134,EUW1_7534972901,157,234,61,910,99,6,59,800,222,16,0,0,0,0,0,0,0,0,0,1,1,0
135,EUW1_7533913919,84,35,157,202,99,897,59,147,804,267,0,1,0,5,27,1,0,4,8,40,1,0
136,EUW1_7541106938,141,30,893,81,497,4,11,25,157,85,0,0,0,4,63,0,0,0,2,61,0,1
137,EUW1_7541058415,2,420,804,45,875,777,910,114,246,117,0,0,0,2,56,0,0,0,4,70,1,0
138,EUW1_7540851043,90,51,36,222,77,102,143,8,106,53,0,0,0,3,74,0,0,0,2,61,0,1
139,EUW1_7540809687,43,90,35,6,350,432,80,201,22,2,0,0,0,1,31,0,0,0,4,37,1,0
140,EUW1_7532564023,240,143,799,202,17,420,59,67,42,16,0,1,2,3,26,1,0,2,9,49,1,0
141,EUW1_7532526089,31,85,895,875,89,555,166,29,103,35,0,0,0,1,62,0,0,0,4,80,1,0
142,EUW1_7532502230,86,145,901,350,555,134,202,79,92,895,0,0,0,4,53,0,0,0,1,26,0,1
143,EUW1_7529937448,147,202,27,893,62,12,266,99,8,61,0,0,0,2,33,0,0,0,1,24,0,1
144,EUW1_7529908585,517,131,897,429,526,888,110,60,523,105,0,0,0,1,50,0,0,0,4,86,1,0
145,EUW1_7525914829,61,110,79,222,120,42,145,234,22,75,0,0,0,1,36,0,0,0,4,43,1,0
146,EUW1_7525895221,38,84,51,233,497,7,6,910,555,412,0,0,0,0,42,0,0,0,4,75,1,0
147,EUW1_7525889565,106,25,18,157,85,221,32,37,236,142,0,0,0,1,36,0,0,0,0,24,0,1
148,EUW1_7525873556,92,101,888,222,90,901,122,29,134,136,0,0,0,4,60,0,0,0,0,45,0,1
149,EUW1_7525860658,203,412,38,134,902,245,7,43,145,223,0,0,0,0,0,0,0,0,0,1,1,0
150,EUW1_7523981443,5,62,110,22,161,17,24,103,18,16,1,0,3,10,52,0,1,3,7,45,1,0
151,EUW1_7523966787,39,163,238,96,43,54,876,800,901,44,1,1,5,10,46,0,0,0,3,22,0,1
152,EUW1_7523921452,8,28,246,523,143,6,107,777,800,37,1,0,2,4,47,0,0,4,9,54,1,0
153,EUW1_7523899932,39,64,55,236,16,24,234,517,360,35,0,0,0,0,21,0,1,2,8,42,1,0
154,EUW1_7523860703,90,234,145,81,89,69,91,29,202,888,0,0,0,4,23,1,1,4,6,41,1,0
155,EUW1_7523833039,1,76,119,112,26,134,104,17,126,142,0,0,0,4,72,0,0,0,0,46,0,1
156,EUW1_7567334618,36,234,105,50,111,122,143,901,134,12,2,1,4,11,37,0,0,1,5,28,0,1
157,EUW1_7567264985,2,154,69,22,3,39,141,4,145,201,0,1,3,9,38,1,0,1,4,23,0,1
158,EUW1_7567200880,421,131,157,115,800,122,25,901,202,57,0,1,0,4,22,1,0,4,8,39,1,0
159,EUW1_7567073275,24,64,517,236,267,126,5,84,18,412,1,1,4,9,37,0,0,1,3,23,0,1
160,EUW1_7567028638,897,421,55,145,40,122,234,38,236,267,0,1,0,1,18,0,0,3,7,31,1,0
161,EUW1_7567013655,24,517,3,29,143,6,131,103,202,497,0,0,0,0,0,0,0,0,0,0,0,1
162,EUW1_7566897667,79,254,910,51,101,799,141,163,222,201,0,0,0,1,13,0,0,2,10,43,1,0
163,EUW1_7566844282,98,80,55,222,412,122,64,38,96,902,0,1,2,3,24,1,0,1,9,35,1,0
164,EUW1_7566818141,14,62,103,804,53,24,64,38,67,25,0,0,1,1,10,0,1,1,9,34,1,0
165,EUW1_7566743916,54,28,166,145,497,14,77,893,81,147,1,1,1,7,34,0,0,3,3,19,0,1
166,EUW1_7566706609,799,200,13,119,89,58,246,3,96,117,0,0,3,5,31,1,1,1,10,45,1,0
167,EUW1_7566678732,24,11,112,804,350,26,154,161,222,37,0,1,1,2,7,0,0,2,9,26,1,0
168,EUW1_7566643871,122,143,61,202,147,126,48,800,222,497,0,0,0,0,19,0,1,4,12,25,1,0
169,EUW1_7566602844,58,5,38,804,497,24,254,136,29,40,0,1,2,6,32,2,0,4,8,43,1,0
170,EUW1_7566165621,240,121,157,145,161,24,64,45,51,111,0,1,2,5,25,1,0,1,7,23,1,0
171,EUW1_7566097580,24,59,268,800,517,114,63,238,901,432,1,1,1,6,34,1,0,4,9,46,1,0
172,EUW1_7566028729,164,33,134,15,526,2,59,69,145,350,0,1,2,10,33,1,0,2,2,24,0,1
173,EUW1_7565963452,24,91,134,18,99,36,246,147,901,53,0,0,2,10,32,0,1,1,0,13,0,1
174,EUW1_7565907325,24,121,166,134,43,27,203,84,42,25,0,1,0,3,21,1,0,4,9,33,1,0
175,EUW1_7564175945,57,234,69,901,43,164,517,18,134,12,0,1,3,6,30,1,0,1,7,38,1,0
176,EUW1_7567418023,10,121,69,360,80,150,120,115,145,12,1,0,4,10,57,0,1,0,4,40,0,1
177,EUW1_7567341322,777,517,75,29,43,98,246,105,22,143,1,0,3,7,58,4,1,5,13,59,1,0
178,EUW1_7567314954,122,19,163,29,111,58,80,3,21,12,0,0,2,1,20,0,0,0,0,8,0,1
179,EUW1_7567246902,98,36,3,110,26,86,141,134,145,432,0,0,0,1,28,1,1,4,10,47,1,0
180,EUW1_7566220796,74,887,90,21,111,78,200,38,202,412,1,0,1,11,32,0,1,3,3,30,0,1
181,EUW1_7566165041,75,36,517,222,111,74,32,34,15,432,1,0,2,10,33,0,1,2,4,25,0,1
182,EUW1_7565819801,86,107,800,221,40,36,91,25,81,111,0,0,0,4,15,0,1,4,11,29,1,0
183,EUW1_7565004624,39,35,55,18,25,58,106,1,21,89,1,0,1,5,38,1,1,4,10,41,1,0
184,EUW1_7564951539,98,246,142,800,497,266,245,166,18,412,0,1,2,6,46,2,0,3,10,43,1,0
185,EUW1_7564904012,114,427,8,145,412,31,200,61,523,902,0,1,1,8,34,0,0,2,4,14,0,1
186,EUW1_7564867649,86,113,39,21,267,10,107,25,222,427,0,0,2,7,30,0,0,0,0,4,0,1
187,EUW1_7564817969,36,154,38,523,147,114,32,127,145,98,0,0,0,3,13,0,1,3,9,44,1,0
188,EUW1_7562497900,81,800,432,141,711,36,122,131,161,43,0,0,0,0,54,0,0,0,0,0,0,1
189,EUW1_7562412152,36,245,112,119,35,777,59,55,901,518,1,0,3,11,40,0,1,1,3,30,0,1
190,EUW1_7562320308,126,254,142,202,12,39,234,134,51,497,0,0,0,0,15,0,1,3,8,23,1,0
191,EUW1_7561254157,98,120,103,901,201,74,141,10,119,12,0,0,1,4,32,1,1,4,9,37,1,0
192,EUW1_7561175736,126,77,13,51,432,74,421,69,901,111,0,0,2,8,42,3,1,4,10,41,1,0
193,EUW1_7558918813,157,107,131,498,902,86,106,90,360,555,0,0,0,3,14,0,1,2,2,19,1,0
194,EUW1_7558811856,86,203,517,202,16,14,246,103,222,902,2,0,2,5,27,0,1,3,8,31,1,0
195,EUW1_7558699322,21,516,115,895,99,68,266,54,202,203,0,0,0,0,65,0,0,0,0,0,0,1
196,EUW1_7500000013,92,62,105,145,432,86,64,8,115,518,1,0,3,10,62,0,1,2,4,35,0,1
197,EUW1_7499982733,114,111,63,901,98,86,517,103,221,432,0,0,3,5,16,0,1,0,2,17,0,1
198,EUW1_7499962717,58,59,134,51,60,86,121,101,15,412,0,1,2,10,35,0,0,2,1,20,0,1
199,EUW1_7497997355,86,121,800,29,78,58,59,90,115,432,0,1,1,3,18,1,0,3,10,31,1,0
200,EUW1_7497946250,266,5,105,901,412,86,59,517,202,267,1,0,3,9,36,0,1,2,3,27,0,1
201,EUW1_7496082806,86,64,101,29,147,122,203,245,202,161,1,1,4,9,45,0,0,0,5,28,0,1
202,EUW1_7496034323,82,91,3,51,99,86,200,1,145,101,1,1,4,7,34,0,0,0,3,29,0,1
203,EUW1_7494977753,106,64,43,202,25,86,107,518,29,432,1,0,2,4,36,1,0,3,11,48,1,0
204,EUW1_7494912438,799,876,238,115,43,86,203,3,236,267,0,0,1,4,33,2,1,5,8,34,1,0
205,EUW1_7494816685,86,59,245,145,111,82,121,134,236,117,0,0,0,2,21,0,1,3,6,28,1,0
206,EUW1_7494780285,145,11,84,222,89,86,120,10,523,12,0,1,3,8,30,0,0,0,3,13,0,1
207,EUW1_7494739518,41,104,84,804,16,86,111,31,145,902,0,1,3,9,26,0,0,1,2,19,0,1
208,EUW1_7494690257,420,203,31,523,43,86,234,950,115,45,0,0,0,3,16,1,1,4,10,38,1,0
209,EUW1_7492932469,86,238,163,145,432,48,141,61,222,902,0,0,1,0,7,0,0,0,0,2,0,1
210,EUW1_7492882475,54,64,112,222,40,86,154,238,236,902,1,1,2,7,27,0,0,1,5,18,0,1
211,EUW1_7492829653,86,59,910,202,63,24,48,134,67,902,0,1,0,1,14,0,0,4,3,29,1,0
212,EUW1_7492233327,122,5,131,222,147,86,876,7,51,267,0,1,1,9,26,2,0,3,11,40,1,0
213,EUW1_7489914213,875,104,134,51,902,86,32,127,110,43,0,0,0,5,21,1,1,4,10,42,1,0
214,EUW1_7489883797,86,64,134,22,902,106,11,61,895,16,3,0,4,13,41,0,1,2,7,30,0,1
215,EUW1_7488787559,58,91,90,360,59,86,9,55,236,902,1,0,3,10,24,0,1,1,3,24,0,1
216,EUW1_7521447075,82,56,777,145,888,92,154,105,29,117,1,1,2,9,34,0,0,2,2,22,0,1
217,EUW1_7520448027,83,59,268,235,16,54,28,157,110,117,0,0,0,2,7,0,1,3,9,31,1,0
218,EUW1_7508820975,268,35,10,804,902,82,245,950,18,412,0,0,1,2,17,0,0,0,0,7,0,1
219,EUW1_7505777652,150,59,136,901,25,875,876,50,222,12,0,1,3,10,66,1,0,2,5,39,0,1
220,EUW1_7505735563,24,234,163,67,111,164,59,63,498,518,0,1,1,4,15,0,0,4,10,32,1,0
221,EUW1_7505686520,82,59,131,15,432,24,113,7,498,111,1,1,3,10,41,0,0,0,3,30,0,1
222,EUW1_7505639758,31,59,268,15,111,6,64,136,29,902,1,1,2,11,36,0,0,2,4,19,0,1
223,EUW1_7505595763,15,126,63,234,45,143,96,412,68,8,0,0,0,2,65,0,0,0,4,84,1,0
224,EUW1_7503366218,36,246,517,804,111,150,32,99,67,201,1,0,0,11,31,0,1,4,4,29,0,1
225,EUW1_7503338937,897,246,38,901,25,420,111,800,119,53,1,1,2,9,39,0,0,1,1,14,0,1
226,EUW1_7494916651,14,233,45,51,111,240,80,136,21,99,0,0,2,4,30,0,0,0,0,20,0,1
227,EUW1_7481823313,48,121,69,523,902,19,76,268,800,89,0,1,3,9,26,0,0,1,2,23,0,1
228,EUW1_7474537048,164,59,136,804,432,240,60,166,222,412,0,0,0,1,12,0,1,2,7,26,1,0
229,EUW1_7471644232,266,234,950,147,161,897,238,103,145,89,0,1,0,2,16,0,0,4,10,37,1,0
230,EUW1_7471585875,83,57,8,42,555,78,238,1,145,412,0,1,2,11,37,1,0,3,4,37,0,1
231,EUW1_7471537503,36,77,950,15,117,777,245,555,804,432,0,1,3,11,24,0,0,0,1,11,0,1
232,EUW1_7456329687,6,19,90,236,53,164,950,131,51,518,1,0,3,11,42,0,1,1,4,25,0,1
233,EUW1_7456305216,36,876,268,498,412,31,254,4,22,76,0,0,1,3,20,0,0,1,0,5,0,1
234,EUW1_7455855144,897,48,950,42,412,24,238,800,222,117,0,1,2,4,20,1,0,3,9,28,1,0
235,EUW1_7454990003,39,5,142,202,412,154,120,950,67,117,1,1,1,10,26,0,0,2,2,15,0,1
236,EUW1_7566035710,58,121,910,895,267,86,234,55,202,412,1,1,3,11,39,0,0,1,3,25,0,1
237,EUW1_7566022078,24,246,13,202,432,164,234,103,29,78,0,0,0,0,0,0,0,0,0,0,0,1
238,EUW1_7565953869,98,234,134,51,25,516,59,103,22,37,1,1,4,9,28,0,0,0,2,14,0,1
239,EUW1_7565823280,54,234,42,161,432,126,28,800,804,143,2,0,2,9,34,0,1,3,4,25,0,1
240,EUW1_7565779948,27,64,804,115,25,36,234,34,145,111,0,0,1,1,17,0,1,3,8,47,1,0
241,EUW1_7565733955,41,234,69,901,201,893,131,910,202,555,0,1,4,6,36,0,0,0,0,11,0,1
242,EUW1_7565685587,86,35,518,67,201,27,238,910,81,26,0,1,2,8,25,0,0,2,5,28,0,1
243,EUW1_7565618357,110,120,3,15,26,75,32,55,145,518,1,0,2,10,40,0,1,2,3,27,0,1
